Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2023-05-23,101.0174,100.65,100.2408,101.04,100.8908,0.0,0.0,0.0,0.0,0.0
2023-05-22,101.0251,100.6475,100.2414,101.0499,100.894,0.0,0.0,0.0,0.0,0.0
2023-05-19,100.9951,100.6502,100.2421,101.01,100.8972,0.0,0.0,0.0,0.0,0.0
2023-05-18,101.0002,100.6402,100.2441,101.0198,100.9068,0.0,0.0,0.0,0.0,0.0
2023-05-17,101.0148,100.63,100.2447,101.0098,100.91,0.0,0.0,0.0,0.0,0.0
2023-05-16,100.9949,100.6498,100.2454,101.0097,100.9133,0.0,0.0,0.0,0.0,0.0
2023-05-15,100.985,100.6698,100.2461,101.0296,100.9165,0.0,0.0,0.0,0.0,0.0
2023-05-12,100.9925,100.6502,100.2468,101.0404,100.9197,0.0,0.0,0.0,0.0,0.0
2023-05-11,101.0051,100.6399,100.2489,101.0403,100.9294,0.0,0.0,0.0,0.0,0.0
2023-05-10,101.01,100.6497,100.2496,101.0503,100.9326,0.0,0.0,0.0,0.0,0.0
2023-05-09,101.015,100.6601,100.2503,101.0502,100.9359,0.0,0.0,0.0,0.0,0.0
2023-05-08,101.0151,100.697,100.251,101.0663,100.9391,0.0,0.0,0.0,0.0,0.0
2023-05-05,101.0249,100.6998,100.2517,101.0697,100.9424,0.0,0.0,0.0,0.0,0.0
2023-05-04,101.0249,100.6998,100.2517,101.0697,100.9424,0.0,0.0,0.0,0.0,0.0
2023-05-03,101.0447,100.71,100.2546,101.0797,100.9554,0.0,0.0,0.0,0.0,0.0
2023-05-02,101.0448,100.7168,100.2553,101.1263,100.9587,0.0,0.0,0.0,0.0,0.0
2023-05-01,101.0448,100.7197,100.2561,101.1298,100.962,0.0,0.0,0.0,0.0,0.0
2023-04-28,101.0448,100.7197,100.2561,101.1298,100.962,0.0,0.0,0.0,0.0,0.0
2023-04-27,101.0603,100.73,100.2591,101.1404,100.9751,0.0,0.0,0.0,0.0,0.0
2023-04-26,101.0551,100.7198,100.2599,101.1403,100.9784,0.0,0.0,0.0,0.0,0.0
2023-04-25,101.055,100.7297,100.2606,101.15,100.9817,0.0,0.0,0.0,0.0,0.0
2023-04-24,101.0923,100.7398,100.2614,101.1598,100.985,0.0,0.0,0.0,0.0,0.0
2023-04-21,101.0551,100.73,100.2622,101.1402,100.9883,0.0,0.0,0.0,0.0,0.0
2023-04-20,101.1151,100.7403,100.2622,101.15,100.9883,0.0,0.0,0.0,0.0,0.0
2023-04-19,101.1347,100.7598,100.2654,101.1604,101.0016,0.0,0.0,0.0,0.0,0.0
2023-04-18,101.1247,100.7602,100.2662,101.1702,101.0049,0.0,0.0,0.0,0.0,0.0
2023-04-17,101.1552,100.7668,100.267,101.1765,101.0082,0.0,0.0,0.0,0.0,0.0
2023-04-14,101.125,100.7698,100.2678,101.18,101.0115,0.0,0.0,0.0,0.0,0.0
2023-04-13,101.125,100.7698,100.2678,101.18,101.0115,0.0,0.0,0.0,0.0,0.0
2023-04-12,101.1949,100.7797,100.2711,101.1695,101.0249,0.0,0.0,0.0,0.0,0.0
2023-04-11,101.1749,100.8099,100.2719,101.1804,101.0282,0.0,0.0,0.0,0.0,0.0
2023-04-10,101.2451,100.8397,100.2727,101.1996,101.0316,0.0,0.0,0.0,0.0,0.0
2023-04-07,101.2849,100.7899,100.2736,101.1098,101.0349,0.0,0.0,0.0,0.0,0.0
2023-04-06,101.2849,100.7899,100.2736,101.1098,101.0349,0.0,0.0,0.0,0.0,0.0
2023-04-05,101.0351,100.77,100.277,101.0904,101.0484,0.0,0.0,0.0,0.0,0.0
2023-04-04,101.0143,100.7871,100.2778,101.1067,101.0518,0.0,0.0,0.0,0.0,0.0
2023-04-03,101.0143,100.7871,100.2778,101.1067,101.0518,0.0,0.0,0.0,0.0,0.0
2023-03-31,101.2095,100.7529,100.2796,101.0728,101.0585,0.0,0.0,0.0,0.0,0.0
2023-03-30,101.0749,100.7599,100.2822,101.0701,101.0687,0.0,0.0,0.0,0.0,0.0
2023-03-29,101.0749,100.7599,100.2822,101.0701,101.0687,0.0,0.0,0.0,0.0,0.0
2023-03-28,101.0777,100.4699,100.2831,101.0999,101.0721,0.0,0.0,0.0,0.0,0.0
2023-03-27,101.2451,100.7802,100.284,101.1002,101.0755,0.0,0.0,0.0,4.175,0.0
2023-03-24,101.0729,100.7897,100.7911,101.1102,101.0789,0.0,0.0,0.0,0.0,0.0
