Date,A,B,C,D,E,Paid Coupon A,Paid Coupon B,Paid Coupon C,Paid Coupon D,Paid Coupon E
2014-07-03,101.461,96.562,94.7643,96.7254,95.8575,0.0,0.0,0.0,0.0,0.0
2014-07-04,101.4853,96.5844,94.5815,96.7089,95.8588,0.0,0.0,0.0,0.0,0.0
2014-07-07,101.2938,96.4001,94.4497,96.5078,95.6662,0.0,0.0,0.0,0.0,0.0
2014-07-08,101.1529,96.2662,94.3405,96.3772,95.5355,0.0,0.0,0.0,0.0,0.0
2014-07-09,101.0368,96.1556,94.6511,96.2645,95.4248,0.0,0.0,0.0,0.0,0.0
2014-07-10,101.3532,96.4652,93.769,96.6364,95.7697,0.0,0.0,0.0,0.0,0.0
2014-07-11,100.4248,95.5742,93.738,95.7046,94.8612,0.0,0.0,0.0,0.0,0.0
2014-07-14,100.3888,95.5416,93.8918,95.8085,94.8978,0.0,0.0,0.0,0.0,0.0
2014-07-15,100.5633,95.7027,94.0827,95.8902,95.0123,0.0,0.0,0.0,0.0,0.0
2014-07-16,100.7516,95.8905,94.1644,96.1507,95.242,0.0,0.0,0.0,0.0,0.0
2014-07-17,100.8406,95.9745,94.1033,96.2122,95.3131,0.0,0.0,0.0,0.0,0.0
2014-07-18,100.7789,95.9145,94.0994,96.1138,95.2327,0.0,0.0,0.0,0.0,0.0
2014-07-21,100.7054,95.9081,94.2949,96.2,95.2447,0.0,0.0,0.0,0.0,0.0
2014-07-22,100.9086,96.1049,94.371,96.4093,95.4482,0.0,0.0,0.0,0.0,0.0
2014-07-23,101.1176,96.2439,94.6713,96.344,95.5154,0.0,0.0,0.0,0.0,0.0
2014-07-24,101.432,96.5471,94.5739,96.6576,95.8236,0.0,0.0,0.0,0.0,0.0
2014-07-25,101.3257,96.4475,94.4724,96.5569,95.7256,0.0,0.0,0.0,0.0,0.0
2014-07-28,101.2221,96.3467,94.5515,97.5485,96.2837,0.0,0.0,0.0,0.0,0.0
2014-07-29,100.9874,96.3044,94.4295,97.3213,96.0586,0.0,0.0,0.0,0.0,0.0
2014-07-30,100.8588,96.1808,94.4347,97.1975,95.9357,0.0,0.0,0.0,0.0,0.0
2014-07-31,100.8615,96.1851,94.3657,97.2117,95.9462,0.0,0.0,0.0,0.0,0.0
2014-08-01,100.7799,96.1121,94.2325,97.1712,95.8942,0.0,0.0,0.0,0.0,0.0
2014-08-04,100.7072,96.0401,94.1212,96.9391,95.7416,0.0,0.0,0.0,0.0,0.0
